DateTime,Severity,Message,Source
"July 08, 2024 03:32:58 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 08:18:49 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 08, 2024 08:20:12 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 08:20:12 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 08:20:12 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 08:20:12 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 23, 2024 07:45:43 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 24, 2024 06:12:54 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"July 24, 2024 10:41:31 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"July 24, 2024 10:41:36 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"July 25, 2024 01:55:26 PM UTC",Error,The operation was canceled.,OSIsoft-PIDataServices
"July 25, 2024 01:55:26 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"July 25, 2024 01:55:28 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"July 31, 2024 02:18:20 PM UTC",Error,"[-10476] Low disk space, file cannot be created or extended.",OSIsoft-PIDataServices
"August 05, 2024 06:30:48 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the PI Data Archive does not allow the authentication method. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"August 06, 2024 01:47:43 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"August 06, 2024 01:48:28 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"August 06, 2024 01:50:58 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"August 06, 2024 02:25:42 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"August 06, 2024 02:26:37 PM UTC",Error,CVG1DDHDATA01,OSIsoft-PIDataServices
"August 07, 2024 09:24:42 AM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"August 08, 2024 01:47:45 AM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 08, 2024 05:42:29 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"August 09, 2024 12:32:32 AM UTC",Error,CVG1VDHDATA01,OSIsoft-PIDataServices
"August 09, 2024 01:11:52 AM UTC",Error,Input string was not in a correct format.,OSIsoft-PIDataServices
"August 09, 2024 01:11:52 AM UTC",Error,Input string was not in a correct format.,OSIsoft-PIDataServices
"August 09, 2024 01:12:27 AM UTC",Error,Input string was not in a correct format.,OSIsoft-PIDataServices
"August 09, 2024 12:24:45 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 09, 2024 12:24:45 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 09, 2024 12:34:53 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 09, 2024 12:34:53 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 09, 2024 12:34:53 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 19, 2024 05:32:48 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"August 24, 2024 04:21:48 AM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"August 27, 2024 11:23:56 AM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"August 29, 2024 05:04:28 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"August 29, 2024 05:23:56 PM UTC",Error,The operation was canceled.,OSIsoft-PIDataServices
"September 06, 2024 05:18:55 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 06, 2024 05:34:27 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 10, 2024 06:03:45 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"September 10, 2024 06:03:45 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"September 12, 2024 01:13:59 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 12, 2024 04:30:00 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"September 15, 2024 04:33:02 AM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"September 17, 2024 06:43:50 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 20, 2024 06:00:41 PM UTC",Error,Object reference not set to an instance of an object.,OSIsoft-PIDataServices
"September 22, 2024 11:24:27 AM UTC",Error,"Unexpected Server Error: 'SQL Error (102) Incorrect syntax near ')'.'. 
Use Event Viewer to see the PI AF Server log file for more information.",OSIsoft-PIDataServices
"September 24, 2024 03:03:42 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 24, 2024 03:16:19 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"September 24, 2024 03:47:48 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"October 01, 2024 02:37:44 PM UTC",Error,Cannot complete the operation because the user does not have rights to read PI AF Server 'CVG1VDHAF01' with UniqueID '534e1d04-249b-4d67-be3f-23463bac9b1c'.,OSIsoft-PIDataServices
"October 14, 2024 02:32:59 PM UTC",Error,Safe handle has been closed,OSIsoft-PIDataServices
"October 22, 2024 01:50:51 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"October 22, 2024 01:50:51 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"October 22, 2024 07:03:51 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 08:14:33 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"October 22, 2024 08:14:33 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"October 22, 2024 11:06:58 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:06:58 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:06:58 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:06:58 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:06:58 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:07:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:07:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"October 22, 2024 11:07:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
